,pdf_url,save_path
140,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2023/01/SEC_2023_MODEL_FINAL.pdf,../jac/jac_cc8fc64d17b71e901fc0c0f957c24808?e=11|*|||.pdf
141,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2021/01/SECONDARY_MODEL_21.pdf,../jac/jac_cfbc06db2adffb73e2ca664295073da3?e=12|*|||.pdf
142,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2020/01/set_3_hin_eng_math_sci_soc.pdf,../jac/jac_d2fdb5db0ae98ad2ceed227e4c676d42?e=13|*|||.pdf
143,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2019/01/Class-XII_Business_Math_Set-2.pdf,../jac/jac_d725d0647d933cb30ab0bec0ea0c3d96?e=14|*|||.pdf
144,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2020/01/pcmb_set_1.pdf,../jac/jac_d8aca6278f7ad13f9623d742fd2a00b4?e=15|*|||.pdf
145,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2018/12/Math-Set-2.pdf,../jac/jac_d9f7e2db1d61d4927f0f1d778814602e?e=16|*|||.pdf
146,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2019/02/Class-XI_Commercial_Arithmatic_Model_2019_Set-3.pdf,../jac/jac_db823b912a76383cbf9088bcb5467a10?e=17|*|||.pdf
147,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2017/02/Latest-12th-Maths-set-8.pdf,../jac/jac_de04dde05b1053e1f33fd0a076f3e417?e=19|*|||.pdf
148,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2022/04/NTSE_MODEL.pdf,../jac/jac_f5ca4cf3595a704e0c93ea7a1460b080?e=0|*|||.pdf
149,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2021/01/SCI_SET_1_phy_che_mat_bio.pdf,../jac/jac_f7964b8b8dc93c4ccb57a4fe8070a102?e=1|*|||.pdf
150,https://scert.cg.gov.in/pdf/sla2019-20/FA2-201920-ALL/Maths/5th-Maths%20FA2.pdf,../scert_cg/123456789_scertchhattisgarh_990297?e=6|*|||.pdf
151,https://scert.cg.gov.in/pdf/sla2019-20/FA2-201920-ALL/Maths/8th%20Maths%20FA2.pdf,../scert_cg/123456789_scertchhattisgarh_990300?e=9|*|||.pdf
152,https://scert.cg.gov.in/pdf/sla2019-20/PA1-B-QP/MATSH%20CLASS%20-%202%20PA%20SET-2.pdf,../scert_cg/123456789_scertchhattisgarh_990325?e=11|*|||.pdf
153,https://scert.cg.gov.in/pdf/sla2019-20/PA1-B-QP/MATSH%20CLASS%20-%208%20PA%20SET-2.pdf,../scert_cg/123456789_scertchhattisgarh_990331?e=17|*|||.pdf
154,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2017/02/Latest-12th-Maths-set-4.pdf,../jac/jac_21539b94413626f20c7c1acb4d711b9e?e=3|*|||.pdf
155,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2017/02/Latest-Matric-2017-Maths-set-10.pdf,../jac/jac_47e8cc040d2629802351fad8a34a7a6c?e=15|*|||.pdf
156,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2017/02/Latest-Matric-2017-Maths-set-2.pdf,../jac/jac_48dc454fd898a0963d58419cd9636b41?e=16|*|||.pdf
157,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2017/02/Latest-Matric-2017-Maths-set-6.pdf,../jac/jac_c377bb51472d860721fb6bec8096a54b?e=8|*|||.pdf
158,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2019/02/Class-XI-Commercial-Arithmatic-Model-2019-Set-2.pdf,../jac/jac_db83dc4d8dccdf39ab94de4604633f8e?e=18|*|||.pdf
159,https://jac.jharkhand.gov.in/jac/wp-content/uploads/2017/02/Latest-12th-Maths-set-6.pdf,../jac/jac_fab643efd2d8032b2ff0783ddf4afb10?e=2|*|||.pdf
